Place, Starters, Points, Points Total, First Name, Last Name, Category, Event, Race, Date, Notes
4,34, 2, 2,"Craig"	,"Aaker"	,"4/5"	,"Circuit"	,"River City Bicycles Tuesday PIR"	,"Category 4/5"	,2015-07-28,""
3,22, 3, 5,"Craig"	,"Aaker"	,"4/5"	,"Circuit"	,"River City Bicycles Tuesday PIR"	,"Category 4/5"	,2015-08-04,""
2,20, 3, 8,"Craig"	,"Aaker"	,"4/5"	,"Circuit"	,"River City Bicycles Tuesday PIR"	,"Men 4/5"	,2015-08-25,""
2,25, 4, 7,"Craig"	,"Aaker"	,"4/5"	,"Circuit"	,"Tuesday Night PIR"	,"Category 4/5"	,2016-08-23,""
27,39, 0, 0,"Mike"	,"Abel"	,"4"	,"Circuit"	,"Tuesday Night PIR"	,"Men 4/5"	,2017-06-13,"DOWNGRADED TO 4"
2, 7, 2, 2,"Stephen"	,"Achilles"	,"5"	,"Circuit"	,"Monday Night PIR"	,"Novice Open"	,2017-05-15,""
4,35, 2, 2,"Martin"	,"Acosta"	,"1/2"	,"Circuit"	,"Dirty Circles 1"	,"Men 1/2/3"	,2014-03-02,""
3,48, 3, 5,"Martin"	,"Acosta"	,"1/2"	,"Circuit"	,"Dirty Circles 2"	,"Men 1/2/3"	,2014-03-09,""
8,53, 2, 7,"Martin"	,"Acosta"	,"1/2"	,"Road"	,"Cherry Pie"	,"Men Category 1/2"	,2014-03-23,""
3, 7, 1, 8,"Martin"	,"Acosta"	,"1/2"	,"Circuit"	,"Rose Garden Circuit Race"	,"Category 1/2/3 Men"	,2014-04-17,""
2,89, 5,13,"Martin"	,"Acosta"	,"1/2"	,"Circuit"	,"Tuesday PIR"	,"Category 1/2/3"	,2014-05-06,""
1,79, 7,20,"Martin"	,"Acosta"	,"1/2"	,"Circuit"	,"Tuesday PIR"	,"Category 1/2/3"	,2014-05-27,""
2,66, 5,25,"Martin"	,"Acosta"	,"1/2"	,"Circuit"	,"Tuesday PIR"	,"Category 1/2/3"	,2014-06-03,""
4,70, 3,28,"Martin"	,"Acosta"	,"1/2"	,"Circuit"	,"Tuesday PIR"	,"Category 1/2/3"	,2014-06-10,""
5,45, 1,29,"Martin"	,"Acosta"	,"1/2"	,"Circuit"	,"Tuesday PIR"	,"Category 1/2/3"	,2014-07-01,""
5,51, 2,31,"Martin"	,"Acosta"	,"1/2"	,"Circuit"	,"Tuesday PIR"	,"Category 1/2/3"	,2014-07-15,""
2,17, 3, 3,"Martin"	,"Acosta"	,"1"	,"Criterium"	,"Pringle Creek Criterium"	,"Men Category 1/2"	,2014-07-20,"UPGRADED TO 1 WITH 31 POINTS"
4,59, 3, 6,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Tuesday PIR"	,"Category 1/2/3"	,2014-07-22,""
5,35, 3, 9,"Martin"	,"Acosta"	,"1"	,"Road"	,"Eugene Celebration"	,"Men Category 1/2"	,2014-08-16,""
2,62, 5,14,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Tuesday PIR"	,"Category 1/2/3"	,2014-08-26,""
2,80, 5,19,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Dirty Circles 1"	,"Men 1/2/3"	,2015-03-01,""
6,86, 1,20,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"River City Bicycles Tuesday PIR"	,"Category 1/2/3"	,2015-05-19,""
1,90, 7,27,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"River City Bicycles Tuesday PIR"	,"Category 1/2/3"	,2015-05-26,""
2,42, 4,31,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"River City Bicycles Tuesday PIR"	,"Category 1/2/3"	,2015-07-07,""
5,63, 2,33,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"River City Bicycles Tuesday PIR"	,"Men Category 1/2/3"	,2015-07-14,""
6,72, 1,34,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"River City Bicycles Tuesday PIR"	,"Category 1/2/3"	,2015-07-21,""
5,66, 2,33,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"River City Bicycles Tuesday PIR"	,"Category 1/2/3"	,2015-07-28,""
4,23, 2,24,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Dirty Circles 1"	,"Men 1/2/3"	,2016-02-28,""
2,11, 3,27,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Dirty Circles 2"	,"Men 1/2/3"	,2016-03-06,""
3,21, 3,25,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Tuesday Night PIR"	,"Category 1/2/3"	,2016-04-12,""
1,72, 7,32,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Tuesday Night PIR"	,"Category 1/2/3"	,2016-04-19,""
1,70, 7,39,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Tuesday Night PIR"	,"Category 1/2/3"	,2016-05-03,""
1,57, 7,45,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Tuesday Night PIR"	,"Category 1/2/3"	,2016-05-31,""
5,59, 2,40,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Tuesday Night PIR"	,"Category 1/2/3"	,2016-06-07,""
5,46, 1,41,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Tuesday Night PIR"	,"Category 1/2/3"	,2016-06-21,""
2,36, 4,45,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Tuesday Night PIR"	,"Category 1/2/3"	,2016-07-05,""
5,22, 1,22,"Martin"	,"Acosta"	,"1"	,"Circuit"	,"Tuesday Night PIR"	,"Men 1/2/3"	,2017-05-02,""
