Place, Starters, Points, Points Total, First Name, Last Name, Category, Event, Race, Date, Notes
3,12, 1, 1,"Paul"	,"Furst"	,"2"	,"Washougal CX"	,"Men 2/3"	,2016-10-23,""
2,11, 2, 3,"Paul"	,"Furst"	,"2"	,"Peddlers at Edgefield"	,"Men 2/3"	,2016-11-05,""
1,35, 7,10,"Paul"	,"Furst"	,"2"	,"GPCM: Het Meer CX"	,"Men 2/3"	,2017-09-09,""
4,23, 2,12,"Paul"	,"Furst"	,"2"	,"Corn Cross 1"	,"Men 2/3"	,2017-09-10,""
1,41, 7,19,"Paul"	,"Furst"	,"2"	,"GPCM: Zaaldercross"	,"Men 2/3"	,2017-09-16,""
6,37, 2, 2,"Paul"	,"Furst"	,"2"	,"Heiser Farm"	,"Men 2/3"	,2018-09-29,""
6,74, 3, 5,"Paul"	,"Furst"	,"2"	,"PIR Heron Lakes"	,"Men 2/3"	,2018-10-14,""
7,68, 2, 7,"Paul"	,"Furst"	,"2"	,"Deschutes Brewery Day 2"	,"Men 2/3"	,2018-11-04,""
1,56, 7,14,"Paul"	,"Furst"	,"2"	,"Barton Park"	,"Men 2/3"	,2018-11-18,""
4,22, 2, 2,"Stefan"	,"Furst"	,"5"	,"GPTB: Winter Cross"	,"Beginner Men"	,2012-12-02,""
3,30, 5, 7,"Stefan"	,"Furst"	,"5"	,"Winter Cross"	,"Beginner Men"	,2013-12-01,""
2,19, 4, 9,"Stefan"	,"Furst"	,"5"	,"Fazio Farms"	,"Beginner Men"	,2014-09-07,""
1,81,10,19,"Stefan"	,"Furst"	,"5"	,"PIR Infield"	,"Beginner Men"	,2014-11-09,""
1,47, 7,26,"Stefan"	,"Furst"	,"5"	,"Barton Park"	,"Beginner Men"	,2014-11-16,"NEEDS UPGRADE"
22, ?, 0, 0,"Stefan"	,"Furst"	,"4"	,"Kruger's Crossing CX"	,"Category C"	,2014-11-23,"UPGRADED TO 4 WITH 26 POINTS"
5,23, 1, 1,"John"	,"Furtado"	,"5"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Beginner Men"	,2014-09-02,""
4,22, 2, 3,"John"	,"Furtado"	,"5"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Beginner Men"	,2014-10-07,""
6,28, 2, 2,"Michael"	,"Fusaro"	,"1/2"	,"MBSEF Thrilla Cyclocross Series"	,"Masters Men 35+ A"	,2014-09-10,""
3,26, 5, 7,"Michael"	,"Fusaro"	,"1/2"	,"MBSEF Thrilla Cyclocross Series"	,"Masters Men 35+ A"	,2014-09-17,""
3,18, 3, 3,"Michael"	,"Fusaro"	,"1/2"	,"MBSEF Thrilla Cyclocross Series"	,"Masters Men 35+ A"	,2015-09-30,""
1,10, 3, 3,"Michael"	,"Fusaro"	,"1/2"	,"MBSEF Thrilla Cyclocross Series"	,"Category 1/2 Masters Men"	,2017-09-21,""
1,13, 3, 6,"Michael"	,"Fusaro"	,"1/2"	,"MBSEF Thrilla Cyclocross Series"	,"Category 1/2 Masters Men"	,2017-09-28,""
1,17, 5,11,"Michael"	,"Fusaro"	,"1/2"	,"MBSEF Thrilla Cyclocross Series"	,"Category 1/2 Men 35+"	,2018-09-20,""
1,33, 7, 7,"Mike"	,"Fusaro"	,"3"	,"Thrilla Cyclocross Series"	,"Men B"	,2013-09-26,""
10, ?, 0, 0,"Mike"	,"Fusaro"	,"2"	,"Thrilla Cyclocross Series"	,"Men A"	,2013-10-03,"PREMATURELY UPGRADED TO 2 WITH 7 POINTS"
3,42, 5, 5,"Martin"	,"Fuss"	,"5"	,"Het Meer CX Race"	,"Beginner Men"	,2013-09-07,""
3,30, 5,10,"Martin"	,"Fuss"	,"5"	,"Hood River Double Cross"	,"Beginner Men"	,2013-09-14,""
6,55, 2,12,"Martin"	,"Fuss"	,"5"	,"Blind Date at the Dairy"	,"Beginner Men"	,2013-09-18,""
6,38, 2,14,"Martin"	,"Fuss"	,"5"	,"Ninkrossi"	,"Beginner Men"	,2013-09-28,""
1,48, 7,21,"Martin"	,"Fuss"	,"5"	,"Blind Date at the Dairy"	,"Beginner Men"	,2013-10-02,"NEEDS UPGRADE"
1,24, 5,26,"Martin"	,"Fuss"	,"5"	,"Heiser Farm CX"	,"Beginner Men"	,2013-10-05,"NEEDS UPGRADE"
45, ?, 0, 0,"Martin"	,"Fuss"	,"4"	,"Alpenrose Dairy"	,"Masters 35+ C"	,2013-10-06,"UPGRADED TO 4 WITH 26 POINTS"
5,32, 3, 3,"Martin"	,"Fuss"	,"4"	,"David Douglas CX #2"	,"Masters 35+ C"	,2013-10-26,""
7,29, 1, 4,"Martin"	,"Fuss"	,"4"	,"Sandy/Boring Corn Cross"	,"Masters 35+ C"	,2013-11-02,""
6,76, 3, 7,"Martin"	,"Fuss"	,"4"	,"OBRA CX Championships: GPET: Pedalers At The Poor Farm CX @ Edgefield"	,"Masters 35+ C"	,2013-11-09,""
4,28, 4,11,"Martin"	,"Fuss"	,"4"	,"Fazio Farms CX Part Deux"	,"Masters 35+ C"	,2013-11-16,""
1,18, 5,16,"Martin"	,"Fuss"	,"4"	,"Santa Cross"	,"Men C 35+"	,2013-12-14,""
3,38, 5,21,"Martin"	,"Fuss"	,"4"	,"Kruger's Kermesse CX Farm Crit & Bike Relay"	,"Masters Men C 35+"	,2014-05-18,"NEEDS UPGRADE"
