Place, Starters, Points, Points Total, First Name, Last Name, Category, Event, Race, Date, Notes
6,135, 3, 3,"Craig"	,"Aaker"	,"4"	,"Kruger's Crossing Cyclocross Classic"	,"Masters 35+ C"	,2013-11-24,""
2,117, 8,11,"Craig"	,"Aaker"	,"4"	,"Alpenrose"	,"Masters 35+ C"	,2014-10-11,""
1,138,10,21,"Craig"	,"Aaker"	,"4"	,"Alpenrose"	,"Masters 35+ C"	,2014-10-12,"NEEDS UPGRADE"
1,168,10,31,"Craig"	,"Aaker"	,"4"	,"Heron Lakes"	,"Masters 35+ C"	,2014-10-19,"NEEDS UPGRADE"
6,111, 3, 3,"Craig"	,"Aaker"	,"3"	,"WA County Fairgrounds"	,"Masters 35+ B"	,2014-10-26,"UPGRADED TO 3 WITH 31 POINTS"
1,116,10,13,"Craig"	,"Aaker"	,"3"	,"Deschutes Brewery"	,"Masters 35+ B"	,2014-11-01,""
2,92, 8,21,"Craig"	,"Aaker"	,"3"	,"Deschutes Brewery"	,"Masters 35+ B"	,2014-11-02,"NEEDS UPGRADE"
20, ?, 0, 0,"Craig"	,"Aaker"	,"2"	,"Barton Park"	,"Masters 35+ A"	,2014-11-16,"UPGRADED TO 2 WITH 21 POINTS"
5,26, 0, 0,"Craig"	,"Aaker"	,"2"	,"Rapha Portland Trophy Cup"	,"Men B"	,2015-09-01,"NO POINTS FOR RACING BELOW CATEGORY"
4,27, 0, 0,"Craig"	,"Aaker"	,"2"	,"Rapha Portland Trophy Cup"	,"Men B"	,2015-09-15,"NO POINTS FOR RACING BELOW CATEGORY"
7,28, 0, 0,"Craig"	,"Aaker"	,"2"	,"Rapha Portland Trophy Cup"	,"Men B"	,2015-09-22,"NO POINTS FOR RACING BELOW CATEGORY"
4,25, 0, 0,"Craig"	,"Aaker"	,"2"	,"Rapha Portland Trophy Cup"	,"Men B"	,2015-09-29,"NO POINTS FOR RACING BELOW CATEGORY"
6,28, 2, 2,"Craig"	,"Aaker"	,"2"	,"Barton Park"	,"Masters 35+ 1/2"	,2017-11-12,""
5,21, 1, 3,"Craig"	,"Aaker"	,"2"	,"OBRA Championships: Kruger's Crossing Cyclocross Classic"	,"Masters 35+ 1/2"	,2017-11-19,""
5,11, 1, 1,"Amanda"	,"Abel"	,"5"	,"GPCM: Het Meer CX"	,"Women 5"	,2017-09-09,"DOWNGRADED TO 5"
2,10, 2, 3,"Amanda"	,"Abel"	,"5"	,"GPCM: Zaaldercross"	,"Women 5"	,2017-09-16,""
5,12, 1, 4,"Amanda"	,"Abel"	,"5"	,"GPCM: Heiser Farm CX"	,"Women 5"	,2017-09-30,""
6,27, 2, 6,"Amanda"	,"Abel"	,"5"	,"PIR: Heron Lakes"	,"Women 5"	,2017-10-22,""
11, ?, 0, 0,"Amanda"	,"Abel"	,"4"	,"Blind Date at the Dairy"	,"Women 4"	,2018-09-19,"UPGRADED TO 4 WITH 5 POINTS"
7,86, 2, 2,"Mike"	,"Abel"	,"4"	,"GPTB: David Douglas CX #1"	,"Masters 35+ C"	,2012-09-01,""
25, ?, 0, 0,"Mike"	,"Abel"	,"3"	,"GPTB: Het Meer CX Race"	,"Masters 35+ B"	,2012-09-09,"UPGRADED TO 3 WITH 2 POINTS"
7,27, 1, 1,"Mike"	,"Abel"	,"3"	,"Fazio Farms CX p/b Ironclad "	,"Masters 35+ B"	,2012-09-29,""
2,21, 4, 5,"Mike"	,"Abel"	,"3"	,"Blind Date at the Dairy"	,"Masters Men B 35+"	,2012-10-24,""
6,43, 2, 7,"Mike"	,"Abel"	,"3"	,"GPTB: Pedalers At The Poor Farm CX @ Edgefield"	,"Masters 35+ B"	,2012-11-10,""
6,39, 2, 9,"Mike"	,"Abel"	,"3"	,"Kruger's Kermesse... Encore! CX Farm Crit"	,"Masters Men B 35+"	,2013-08-25,""
4,33, 4,13,"Mike"	,"Abel"	,"3"	,"Blind Date at the Dairy"	,"Masters Men B 35+"	,2013-09-18,""
5,43, 3,16,"Mike"	,"Abel"	,"3"	,"Zaandercross "	,"Masters 35+ B"	,2013-09-21,""
7,38, 1,17,"Mike"	,"Abel"	,"3"	,"Heiser Farm CX"	,"Masters 35+ B"	,2013-10-05,""
6,34, 2,18,"Mike"	,"Abel"	,"3"	,"Blind Date at the Dairy"	,"Masters Men B 35+"	,2013-10-16,""
2,23, 4,22,"Mike"	,"Abel"	,"3"	,"Cross-Word CX Challenge"	,"Masters 35+ B"	,2013-10-19,"NEEDS UPGRADE"
2,18, 4,22,"Mike"	,"Abel"	,"3"	,"Sandy/Boring Corn Cross"	,"Masters 35+ B"	,2013-11-02,"NEEDS UPGRADE"
4,110, 5,27,"Mike"	,"Abel"	,"3"	,"Washington County Fair Complex"	,"Masters 35+ B"	,2013-11-03,"NEEDS UPGRADE"
25, ?, 0, 0,"Mike"	,"Abel"	,"2"	,"Kruger's Crossing Cyclocross Classic"	,"Masters 35+ A"	,2013-11-24,"UPGRADED TO 2 WITH 25 POINTS"
4, ?, 0, 0,"Mike"	,"Abel"	,"3"	,"Pedalers at the Poor Farm"	,"Category B"	,2015-11-07,"DOWNGRADED TO 3"
5,71, 4, 4,"Mike"	,"Abel"	,"3"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2017-09-13,""
2,65, 8,12,"Mike"	,"Abel"	,"3"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2017-09-20,""
4,54, 4,16,"Mike"	,"Abel"	,"3"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2017-10-11,""
8,67, 1,17,"Mike"	,"Abel"	,"3"	,"Wooden Shoe"	,"Masters 35+ Category 3"	,2017-11-05,""
3,39, 5, 5,"Andrio"	,"Abero"	,"3"	,"Kruger's Kermesse Farm Crit"	,"Masters Men B 35+"	,2015-08-30,""
2,21, 4, 9,"Andrio"	,"Abero"	,"3"	,"Rapha Portland Trophy Cup"	,"Masters B"	,2015-09-01,""
1,64,10,19,"Andrio"	,"Abero"	,"3"	,"GPRM 2015: DDCX"	,"Masters Men 35+ B"	,2015-09-05,""
2,19, 4, 4,"Andrio"	,"Abero"	,"2"	,"Rapha Portland Trophy Cup"	,"Masters A 35+"	,2015-09-15,"PREMATURELY UPGRADED TO 2 WITH 19 POINTS"
1,17, 5, 9,"Andrio"	,"Abero"	,"2"	,"Rapha Portland Trophy Cup"	,"Masters A 35+"	,2015-09-22,""
5,23, 1,10,"Andrio"	,"Abero"	,"2"	,"GPRM 2015: Ninkrossi"	,"Masters 35+ A"	,2015-09-26,""
1,22, 5,15,"Andrio"	,"Abero"	,"2"	,"Rapha Portland Trophy Cup"	,"Masters A 35+"	,2015-09-29,""
4,33, 4,19,"Andrio"	,"Abero"	,"2"	,"GP: David Douglas CX"	,"Masters 35+ 1/2"	,2016-09-03,""
4,30, 4,23,"Andrio"	,"Abero"	,"2"	,"GP: Het Meer CX"	,"Masters 35+ 1/2"	,2016-09-10,""
7,27, 1, 1,"Andrio"	,"Abero"	,"1"	,"GP: Zaaldercross"	,"Masters 35+ 1/2"	,2016-09-17,"UPGRADED TO 1 WITH 23 POINTS"
4,29, 4, 5,"Andrio"	,"Abero"	,"1"	,"GP: Ninkrossi"	,"Masters 35+ 1/2"	,2016-09-24,""
5,25, 1, 6,"Andrio"	,"Abero"	,"1"	,"Grand Prix Brad Ross - Heiser Farms"	,"Masters 35+ 1/2"	,2016-10-01,""
2,10, 2, 8,"Andrio"	,"Abero"	,"1"	,"Washougal CX"	,"Masters 35+ 1/2"	,2016-10-23,""
3,25, 3,11,"Andrio"	,"Abero"	,"1"	,"GPCM: Zaaldercross"	,"Masters 35+ 1/2"	,2017-09-16,""
2,14, 2,13,"Andrio"	,"Abero"	,"1"	,"GPCM: NINKROSSI"	,"Masters 35+ 1/2"	,2017-09-23,""
7,37, 1, 9,"Andrio"	,"Abero"	,"1"	,"Alpenrose Dairy #2"	,"Masters 35+ 1/2"	,2017-10-08,""
5,38, 3,11,"Andrio"	,"Abero"	,"1"	,"PIR: Heron Lakes"	,"Masters 35+ 1/2"	,2017-10-22,""
1, 8, 3, 3,"Kendall"	,"Accetta"	,"5"	,"Battle at Barlow"	,"Beginner Women"	,2015-09-27,""
4,11, 2, 2,"Kendall"	,"Accetta"	,"4"	,"Cooper Spur Cyclocross"	,"Women C"	,2015-10-04,"UPGRADED TO 4 WITH 3 POINTS"
4,28, 4, 6,"Kendall"	,"Accetta"	,"4"	,"Alpenrose"	,"Women C"	,2015-10-10,""
3,33, 5,11,"Kendall"	,"Accetta"	,"4"	,"Alpenrose"	,"Women C"	,2015-10-11,""
3,21, 5,16,"Kendall"	,"Accetta"	,"4"	,"Cascade Locks"	,"Women C"	,2015-10-18,""
1,22, 7,23,"Kendall"	,"Accetta"	,"4"	,"Portland International Raceway"	,"Women C"	,2015-11-15,"NEEDS UPGRADE"
9, ?, 0, 0,"Kendall"	,"Accetta"	,"3"	,"OBRA Cyclocross Championships p/b City of Sandy"	,"Women B"	,2015-11-21,"UPGRADED TO 3 WITH 23 POINTS"
2,15, 2, 2,"Bernard"	,"Acevedo"	,"4"	,"Twilight Cyclocross Series"	,"Men C"	,2012-09-04,""
4,22, 2, 4,"Bernard"	,"Acevedo"	,"4"	,"Twilight Cyclocross Series"	,"Men C"	,2012-09-11,""
2,17, 4, 8,"Bernard"	,"Acevedo"	,"4"	,"Twilight Cyclocross Series"	,"Men C"	,2012-09-18,""
3,18, 3,11,"Bernard"	,"Acevedo"	,"4"	,"Twilight Cyclocross Series"	,"Men C"	,2012-09-25,""
2,35, 6,17,"Bernard"	,"Acevedo"	,"4"	,"Canby Cross-Word CX Challenge"	,"Masters 35+ C"	,2012-10-20,""
3,27, 5,22,"Bernard"	,"Acevedo"	,"4"	,"Canby Cross-Word CX Challenge"	,"Masters 35+ C"	,2012-11-03,"NEEDS UPGRADE"
2,11, 2,24,"Bernard"	,"Acevedo"	,"4"	,"Psycho Cross Series"	,"Masters Men 35+, C"	,2012-11-10,"NEEDS UPGRADE"
41, ?, 0, 0,"Bernard"	,"Acevedo"	,"3"	,"PIR (Pro Paddock)"	,"Masters 35+ B"	,2012-11-18,"UPGRADED TO 3 WITH 24 POINTS"
5,48, 3, 3,"Martin"	,"Acosta"	,"3"	,"Blind Date at the Dairy"	,"Men 3/4"	,2018-09-05,""
2,41, 6, 9,"Martin"	,"Acosta"	,"3"	,"Blind Date at the Dairy"	,"Men 3/4"	,2018-10-03,""
3,16, 3, 3,"Cary"	,"Adams"	,"3"	,"Twilight Cyclocross Series"	,"Men B"	,2012-09-11,""
2,10, 2, 5,"Cary"	,"Adams"	,"3"	,"Canby Cross-Word CX Challenge"	,"Category B"	,2012-10-20,""
1,45, 7, 7,"Cary"	,"Adams"	,"3"	,"Heron Lakes"	,"Category B"	,2014-10-19,""
5,56, 3,10,"Cary"	,"Adams"	,"3"	,"Deschutes Brewery"	,"Category B"	,2014-11-01,""
4,46, 4,14,"Cary"	,"Adams"	,"3"	,"Deschutes Brewery"	,"Category B"	,2014-11-02,""
3,43, 5,19,"Cary"	,"Adams"	,"3"	,"PIR Infield"	,"Category B"	,2014-11-09,""
2,34, 6,25,"Cary"	,"Adams"	,"3"	,"Barton Park"	,"Category B"	,2014-11-16,"NEEDS UPGRADE"
2, ?, 0, 0,"Cary"	,"Adams"	,"2"	,"Psycho Cross Series"	,"Men A"	,2014-11-30,"UPGRADED TO 2 WITH 25 POINTS"
2,10, 2, 2,"Greg"	,"Adams"	,"2"	,"Blind Date at the Dairy"	,"Men 2/3"	,2016-09-28,""
6,83, 3, 3,"Mark"	,"Adamski"	,"3"	,"PIR Heron Lakes"	,"Masters 35+ Category 3"	,2018-10-14,""
3,22, 3, 6,"Mark"	,"Adamski"	,"3"	,"Luscher Farm Crosstoberfest"	,"Masters 35+ Category 3"	,2018-10-27,""
1,65,10,16,"Mark"	,"Adamski"	,"3"	,"Rainier High School (OBRA Cyclocross Championships)"	,"Masters 35+ Category 3"	,2018-11-11,""
2,78, 8,24,"Mark"	,"Adamski"	,"3"	,"Barton Park"	,"Masters 35+ Category 3"	,2018-11-18,"NEEDS UPGRADE"
3, 6, 1, 1,"Jennifer"	,"Adamy"	,"5"	,"Cooper Spur Cyclocross"	,"Beginner Women"	,2015-10-04,"DOWNGRADED TO 5"
3,21, 3, 3,"Gerald"	,"Adasavage"	,"1/2"	,"GPCM: Zaaldercross"	,"Men 1/2"	,2017-09-16,""
1,18, 5, 5,"Pat"	,"Addabbo"	,"5"	,"MBSEF Thrilla Cyclocross Series"	,"Category 5 Men"	,2018-09-13,""
2, ?, 0, 0,"Pat"	,"Addabbo"	,"4"	,"MBSEF Thrilla Cyclocross Series"	,"Category 4 Men"	,2018-09-20,"UPGRADED TO 4 WITH 5 POINTS"
5,39, 3, 3,"Aaron"	,"Adelstein"	,"4"	,"Deschutes Brewery Cup"	,"Men Category C"	,2012-12-08,""
4,22, 2, 2,"John"	,"Adkins"	,"3"	,"MBSEF Thrilla Cyclocross Series"	,"Category 3 Masters Men"	,2017-09-21,""
3,18, 3, 5,"John"	,"Adkins"	,"3"	,"MBSEF Thrilla Cyclocross Series"	,"Category 3 Masters Men"	,2017-09-28,""
8,94, 1, 6,"John"	,"Adkins"	,"3"	,"Alpenrose Dairy #2"	,"Masters 35+ Category 3"	,2017-10-08,""
3,14, 1, 1,"Nathan"	,"Agalzoff"	,"4"	,"Keizer Rapids Cross"	,"Category C Men"	,2014-08-25,""
7,43, 1, 2,"Nathan"	,"Agalzoff"	,"4"	,"Blind Date at the Dairy"	,"Men C"	,2014-09-24,""
5,41, 3, 5,"Nathan"	,"Agalzoff"	,"4"	,"Battle at Barlow"	,"Category C"	,2014-09-28,""
3,39, 5,10,"Nathan"	,"Agalzoff"	,"4"	,"Blind Date at the Dairy"	,"Men C"	,2014-10-01,""
5,28, 3,13,"Nathan"	,"Agalzoff"	,"4"	,"Heiser Farms CX"	,"Category C"	,2014-10-04,""
6,82, 3,16,"Nathan"	,"Agalzoff"	,"4"	,"Alpenrose"	,"Category C"	,2014-10-11,""
2,82, 8,24,"Nathan"	,"Agalzoff"	,"4"	,"WA County Fairgrounds"	,"Category C"	,2014-10-26,"NEEDS UPGRADE"
24, ?, 0, 0,"Nathan"	,"Agalzoff"	,"3"	,"PIR Infield"	,"Category B"	,2014-11-09,"UPGRADED TO 3 WITH 24 POINTS"
2,10, 2, 2,"Nathan"	,"Agalzoff"	,"3"	,"Washougal CX"	,"Category B"	,2015-10-24,""
7,44, 1, 3,"Nathan"	,"Agalzoff"	,"3"	,"Blind Date at the Dairy"	,"Men 3/4"	,2016-09-28,""
4,36, 4, 4,"Christian"	,"Ahrens"	,"4"	,"Het Meer CX Race"	,"Category C"	,2013-09-07,""
3,12, 3, 3,"Katie"	,"Ahrens"	,"4"	,"GPTB: Het Meer CX Race"	,"Women C"	,2012-09-09,""
3, 8, 1, 4,"Katie"	,"Ahrens"	,"4"	,"Canby Cross-Word CX Challenge"	,"Women C"	,2012-10-20,""
4,11, 2, 6,"Katie"	,"Ahrens"	,"4"	,"GPTB: David Douglas CX #2"	,"Women C"	,2012-10-27,""
1, 6, 3, 9,"Katie"	,"Ahrens"	,"4"	,"Canby Cross-Word CX Challenge"	,"Women C"	,2012-11-03,""
5,17, 1,10,"Katie"	,"Ahrens"	,"4"	,"GPTB: Pedalers At The Poor Farm CX @ Edgefield"	,"Women C"	,2012-11-10,""
3,26, 5, 5,"Eric"	,"Albright"	,"4"	,"Sandy/Boring Corn Cross"	,"Category C"	,2013-11-02,""
25, ?, 0, 0,"Eric"	,"Albright"	,"3"	,"GPRM 2015: Het Meer CX"	,"Category B"	,2015-09-12,"UPGRADED TO 3 WITH 0 POINTS"
5,13, 1, 1,"Natalie"	,"Albright"	,"5"	,"Double Cross"	,"Beginner Women"	,2012-09-16,""
40, ?, 0, 0,"Natalie"	,"Albright"	,"4"	,"Deschutes Brewery"	,"Women C"	,2013-10-26,"UPGRADED TO 4 WITH 0 POINTS"
4,17, 2, 2,"William"	,"Alcorn"	,"1/2"	,"Fazio Farms CX p/b Ironclad "	,"Masters 35+ A"	,2012-09-29,""
3,21, 3, 3,"William"	,"Alcorn"	,"1/2"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Masters A 40+"	,2014-10-07,""
3,12, 1, 1,"William"	,"Alcorn"	,"2"	,"Portland Trophy Cup"	,"Masters Men 2/3"	,2016-09-06,""
3,18, 3, 4,"William"	,"Alcorn"	,"2"	,"Portland Trophy Cup"	,"Masters Men 2/3"	,2016-09-13,""
3,15, 1, 5,"William"	,"Alcorn"	,"2"	,"Portland Trophy Cup"	,"Masters Men 2/3"	,2016-09-27,""
2,15, 2, 7,"William"	,"Alcorn"	,"2"	,"Portland Trophy Cup"	,"Masters Men 2/3"	,2016-10-04,""
1,15, 3, 3,"Nicholas"	,"Alden"	,"4"	,"Twilight Cyclocross Series"	,"Men C"	,2012-09-04,""
9, ?, 0, 0,"Nicholas"	,"Alden"	,"3"	,"Twilight Cyclocross Series"	,"Men B"	,2012-09-11,"UPGRADED TO 3 WITH 3 POINTS"
2,10, 2, 2,"Nicholas"	,"Alden"	,"3"	,"Twilight Cyclocross Series"	,"Men B"	,2013-09-02,""
2,13, 2, 4,"Nicholas"	,"Alden"	,"3"	,"Twilight Cyclocross Series"	,"Men B"	,2013-09-09,""
5,34, 3, 3,"Brad"	,"Alderman"	,"5"	,"GPRM 2015: Het Meer CX"	,"Beginner Men"	,2015-09-12,""
4,20, 2, 5,"Brad"	,"Alderman"	,"5"	,"GPRM 2015: Ninkrossi"	,"Beginner Men"	,2015-09-26,""
68, ?, 0, 0,"Brad"	,"Alderman"	,"4"	,"Kruger's Crossing CX"	,"Masters 35+ C"	,2015-11-22,"UPGRADED TO 4 WITH 5 POINTS"
2,28, 6, 6,"Eric"	,"Alderman"	,"5"	,"GPRM 2015: Zaaldercross"	,"Beginner Men"	,2015-09-19,""
1,20, 5,11,"Eric"	,"Alderman"	,"5"	,"GPRM 2015: Ninkrossi"	,"Beginner Men"	,2015-09-26,""
7,29, 1,12,"Eric"	,"Alderman"	,"5"	,"GPRM 2015: Heiser Farm"	,"Beginner Men"	,2015-10-03,""
27, ?, 0, 0,"Eric"	,"Alderman"	,"4"	,"GP: David Douglas CX"	,"Men 4"	,2016-09-03,"UPGRADED TO 4 WITH 12 POINTS"
5,47, 3, 3,"Eric"	,"Aldinger"	,"4"	,"Ninkrossi"	,"Masters 35+ 4"	,2018-09-22,""
5,25, 1, 1,"Carl"	,"Aldrich"	,"5"	,"Washougal CX"	,"Beginner Men"	,2015-10-24,""
4,43, 4, 5,"Carl"	,"Aldrich"	,"5"	,"Deschutes Brewery"	,"Beginner Men"	,2015-10-31,""
3,45, 5,10,"Carl"	,"Aldrich"	,"5"	,"Deschutes Brewery"	,"Beginner Men"	,2015-11-01,""
6,47, 2,12,"Carl"	,"Aldrich"	,"5"	,"Barton Park"	,"Beginner Men"	,2015-11-08,""
7,54, 1,13,"Carl"	,"Aldrich"	,"5"	,"Kruger's Crossing CX"	,"Beginner Men"	,2015-11-22,""
26, ?, 0, 0,"Carl"	,"Aldrich"	,"4"	,"GP: David Douglas CX"	,"Men 4"	,2016-09-03,"UPGRADED TO 4 WITH 13 POINTS"
29, ?, 0, 0,"Carl"	,"Aldrich"	,"3"	,"Grand Prix Brad Ross - Heiser Farms"	,"Men 2/3"	,2016-10-01,"UPGRADED TO 3 WITH 0 POINTS"
7,39, 1, 1,"Hugh"	,"ALESSI"	,"4"	,"Deschutes Brewery Cup"	,"Men Category C"	,2012-12-09,""
7, ?, 0, 0,"Hugh"	,"ALESSI"	,"3"	,"Deschutes Brewery"	,"Category B"	,2013-12-08,"UPGRADED TO 3 WITH 1 POINTS"
4,43, 4, 4,"Hugh"	,"ALESSI"	,"3"	,"Alpenrose"	,"Category B"	,2014-10-12,""
49, ?, 0, 0,"Hugh"	,"ALESSI"	,"2"	,"Deschutes Brewery"	,"Category A"	,2014-11-02,"PREMATURELY UPGRADED TO 2 WITH 4 POINTS"
3,39, 5, 5,"Jack"	,"ALESSI"	,"4"	,"Deschutes Brewery Cup"	,"Men Category C"	,2012-12-09,""
18, ?, 0, 0,"Jack"	,"ALESSI"	,"3"	,"Deschutes Brewery"	,"Category B"	,2013-10-26,"UPGRADED TO 3 WITH 5 POINTS"
3,49, 5, 5,"Jack"	,"ALESSI"	,"3"	,"Alpenrose"	,"Category B"	,2014-10-11,""
3,43, 5,10,"Jack"	,"ALESSI"	,"3"	,"Alpenrose"	,"Category B"	,2014-10-12,""
6,54, 2, 2,"Dan"	,"Alexander"	,"5"	,"Deschutes Brewery Day 1"	,"Men 5"	,2018-11-03,""
7,59, 1, 3,"Dan"	,"Alexander"	,"5"	,"Deschutes Brewery Day 2"	,"Men 5"	,2018-11-04,""
1, 7, 3, 3,"Kimberly"	,"Alexander"	,"5"	,"DDCX 1"	,"Beginner Women"	,2014-08-30,""
2, 8, 2, 2,"Kimberly"	,"Alexander"	,"4"	,"Het Meer"	,"Women C"	,2014-09-06,"UPGRADED TO 4 WITH 3 POINTS"
5,17, 1, 3,"Kimberly"	,"Alexander"	,"4"	,"Ninkrossi"	,"Women C"	,2014-09-27,""
5,20, 1, 4,"Kimberly"	,"Alexander"	,"4"	,"Heiser Farms CX"	,"Women C"	,2014-10-04,""
1,32, 7, 7,"Abdulrahman"	,"Alkhamees"	,"5"	,"CrossWord CX Challenge p/b Metropolis Cycle Repair"	,"Men 5"	,2018-10-20,""
6,46, 2, 9,"Abdulrahman"	,"Alkhamees"	,"5"	,"Rainier High School (OBRA Cyclocross Championships)"	,"Men 5"	,2018-11-11,""
3,24, 3, 3,"J.J."	,"Allen"	,"3"	,"Ride Hard, Finish Thirsty, p/b Boneyard"	,"Masters Men B 35+"	,2014-09-21,""
5,16, 1, 1,"Jason"	,"Allen"	,"1/2"	,"Southern Oregon Outlaw CX"	,"Masters A 35+"	,2012-10-20,""
1, ?, 0, 0,"Jason"	,"Allen"	,"3"	,"Brewhaus Cyclocross Series"	,"Category 3/4/5 Men 35+"	,2016-09-01,"DOWNGRADED TO 3"
3,19, 3, 3,"Paul"	,"Allen"	,"5"	,"Sandy/Boring Corn Cross"	,"Beginner Men"	,2014-11-01,""
2,26, 6, 9,"Paul"	,"Allen"	,"5"	,"OBRA Cyclocross Championships: Peddlars at the Poor Farm"	,"Beginner Men"	,2014-11-08,""
29, ?, 0, 0,"Paul"	,"Allen"	,"4"	,"Blind Date at the Dairy"	,"Masters Men C 40+"	,2015-09-16,"UPGRADED TO 4 WITH 9 POINTS"
7,24, 1, 1,"Marila"	,"Alvares"	,"1/2"	,"Alpenrose Dairy #1"	,"Masters Women 35+ 1/2"	,2017-10-07,""
3,19, 3, 4,"Marila"	,"Alvares"	,"1/2"	,"Alpenrose Dairy #2"	,"Masters Women 35+ 1/2"	,2017-10-08,""
2,18, 4, 4,"Marila"	,"Alvares"	,"1/2"	,"Deschutes Brewery Day 1"	,"Masters Women 35+ 1/2"	,2018-11-03,""
3,15, 3, 7,"Marila"	,"Alvares"	,"1/2"	,"Deschutes Brewery Day 2"	,"Masters Women 35+ 1/2"	,2018-11-04,""
1,135,10,10,"David"	,"ALVAREZ"	,"4"	,"Kruger's Crossing Cyclocross Classic"	,"Masters 35+ C"	,2013-11-24,""
7,21, 1, 1,"Jennie"	,"Alvarez"	,"3"	,"River City Bicycles Cyclocross Crusade"	,"Masters Women 35+ 3"	,2016-10-29,""
1,13, 5, 6,"Jennie"	,"Alvarez"	,"3"	,"GPCM: Het Meer CX"	,"Masters Women 35+ 3"	,2017-09-09,""
1,13, 5,11,"Jennie"	,"Alvarez"	,"3"	,"GPCM: Zaaldercross"	,"Masters Women 35+ 3"	,2017-09-16,""
2, 9, 2,13,"Jennie"	,"Alvarez"	,"3"	,"Battle at Barlow"	,"Women 3"	,2017-09-24,""
3,10, 1,13,"Jennie"	,"Alvarez"	,"3"	,"OBRA Championships: Kruger's Crossing Cyclocross Classic"	,"Masters Women 35+ 3"	,2017-11-19,""
6,24, 2, 3,"Jennie"	,"Alvarez"	,"3"	,"Alpenrose Dairy Day 1"	,"Masters Women 35+ 3"	,2018-10-06,""
7,22, 1, 4,"Jennie"	,"Alvarez"	,"3"	,"Deschutes Brewery Day 1"	,"Masters Women 35+ 3"	,2018-11-03,""
5,16, 1, 5,"Jennie"	,"Alvarez"	,"3"	,"Deschutes Brewery Day 2"	,"Masters Women 35+ 3"	,2018-11-04,""
5,28, 3, 3,"Benny"	,"Ambauen"	,"3"	,"Thrilla Cyclocross Series"	,"Men B"	,2013-10-03,""
6,87, 3, 3,"Beny"	,"Ambauen"	,"3"	,"Deschutes Brewery"	,"Masters 35+ B"	,2013-10-27,""
4,38, 4, 7,"Beny"	,"Ambauen"	,"3"	,"MBSEF Thrilla Cyclocross Series"	,"Masters Men B 35+"	,2014-09-17,""
7,42, 1, 5,"Beny"	,"Ambauen"	,"3"	,"MBSEF Thrilla Cyclocross Series"	,"Men B 35+"	,2015-09-02,""
6,32, 2, 7,"Beny"	,"Ambauen"	,"3"	,"MBSEF Thrilla Cyclocross Series"	,"Masters Men B 35+"	,2015-09-16,""
3,19, 3, 6,"Beny"	,"Ambauen"	,"3"	,"MBSEF Thrilla Cyclocross Series"	,"Masters Men B 35+"	,2015-09-30,""
6,33, 2, 8,"Beny"	,"Ambauen"	,"3"	,"MBSEF Thrilla Cyclocross Series"	,"Masters 3 35+"	,2016-09-07,""
5,16, 1, 8,"Beny"	,"Ambauen"	,"3"	,"MBSEF Thrilla Cyclocross Series"	,"Masters 35+ 3"	,2016-09-21,""
6,36, 2, 2,"Amy"	,"Ambrosier"	,"4"	,"Deschutes Brewery Cup"	,"Women Category C"	,2012-12-08,""
7,32, 1, 3,"Amy"	,"Ambrosier"	,"4"	,"Deschutes Brewery Cup"	,"Women Category C"	,2012-12-09,""
3,47, 5, 8,"Amy"	,"Ambrosier"	,"4"	,"Deschutes Brewery"	,"Women C"	,2013-10-26,""
4,35, 4, 9,"Amy"	,"Ambrosier"	,"4"	,"Deschutes Brewery"	,"Women C"	,2014-11-01,""
2,25, 6,15,"Amy"	,"Ambrosier"	,"4"	,"Deschutes Brewery"	,"Women C"	,2014-11-02,""
8,69, 1, 1,"Erik"	,"Anderosn"	,"3"	,"Battle at Barlow"	,"Masters 35+ B"	,2012-09-30,""
4,21, 2, 2,"Aaron"	,"Anderson"	,"3"	,"CrossWord CX Challenge p/b Metropolis Cycle Repair"	,"Men 2/3"	,2018-10-20,""
6,56, 2, 4,"Aaron"	,"Anderson"	,"3"	,"Barton Park"	,"Men 2/3"	,2018-11-18,""
1,75,10,10,"Dan"	,"Anderson"	,"4"	,"GPTB: Het Meer CX Race"	,"Masters 35+ C"	,2012-09-09,""
4,50, 4,14,"Dan"	,"Anderson"	,"4"	,"GPTB: Double Cross"	,"Masters 35+ C"	,2012-09-15,""
4,58, 4,18,"Dan"	,"Anderson"	,"4"	,"GPTB: Zaandercross at Frenchmans Bar"	,"Masters 35+ C"	,2012-09-22,""
1,108,10,28,"Dan"	,"Anderson"	,"4"	,"Battle at Barlow"	,"Masters 35+ C"	,2012-09-30,"NEEDS UPGRADE"
23, ?, 0, 0,"Dan"	,"Anderson"	,"3"	,"Alpenrose"	,"Masters 35+ B"	,2012-10-07,"UPGRADED TO 3 WITH 28 POINTS"
7,43, 1, 1,"Dan"	,"Anderson"	,"3"	,"GPTB: Pedalers At The Poor Farm CX @ Edgefield"	,"Masters 35+ B"	,2012-11-10,""
2,10, 2, 3,"Dan"	,"Anderson"	,"3"	,"Bike N Hike Santa Cross P/B Giant"	,"Masters Men B 35+"	,2012-12-16,""
